Page
"망하기전,북조선,큰집,남조선,이모네,형님,21세,가정,허리,몹씨,굽은,할머니,아버지,강씨,42세,동안철로국,어머니,이씨,39세,가정부녀,9세,큰녀동생,일본학교,6세,남동생,3세,작은녀동생,안해,여덟,식구,지금,형님,57세,58세,청년시절,체육,동안부근,일정,일름,외사춘동생,형님,몹씨"
"두손,실현,노력,사람,환경,지배,리별,비극,그때,외삼촌,누이,찾어,편지,중국,문화대혁명,비극,제때,전달,어찌,안타깝지,혁명,끝난,몇년후,외삼촌,편지,우리,누나,찾는,외삼촌,소원,아쉬운,심정,한탄,늙으신,어머님,아침,지난밤,꿈,외삼춘,조선,중국,두나라,개념,몇천리,거리,국경선,제한,다시,계산,가까운,거리,장백,뻐스,송강하,비시간,로정"
"리별,(이별),비극,외삼촌,중국문화대혁명,끝,누나,찾는,외삼촌,소원,아쉬운심정,한탄,조선,중국,국경선,제한,가까운거리"
"안녕,공사,여러분,무고,두달,1991년,맛게,요사이,조국소식,달역,반가히,감사,압날,조흔,소식,책자,감사,한중무역,대표부,영사부,기관,우리,해외동포들,고국,방문,방송,이곳,국내,발표,명춘,그리운,고국,방문,수식,전하면서,실례,하북성,친황다오시,해항구,산동장,소구"
"올해,81년도,새해,82년,옥체건강,충심,새해,공작,다망,고국,그리게,부탁,노력,방조,흥취,교류수음기,도움,미안,직류반도체,교류수음기,수리,조립,서적,신심,부탁,이만"
"안녕,무고,각금,감사,오날,미안,부탁,대한사전,한중옥편,부탁,84년,사업,경영,참고,일본,책,필요,부탁,몸,조심"
"정부,혜택,성조선족,교원연수학원,학교관리,전업,우리민족,민족,문화,발전,번영,탐구,미래,꽃봉오리,문화유산,아동교양사업,문화지식,애로,서책,보내주셨던것,문화학습,크나큰,도움"
"안영,무고,보내주신,오늘의한국,밧고,기버서,올림픽,식구,조화햇슴니다,고맙,부탁,부탁,노력,연로,준비,한중,관계,조화지니까,소문,모국,친척,신새,문제,알아보아서,미안,중화인민공화국,하북성,친황다오시,해항구,산동장소구"
"이산가족,한국정부,법률적,규정,고향땅,조상,묘지,산,할아버지아버님,세상,뜨셨습니다,생존,문서,손자, 계승,절차,수속,방법,방조"
"선생님,엽서,새해,인사,기쁜심정,민족,사랑,우의,고마운,마음,문화교육,사업,저,하르번시,성고자조선족학교,지도사업,정부,혜택,성조선족,교사진수학원,학교,전업"
